Genome,Genome ID,Accession,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1098","LBJ_0840","VBILepBor13265_1098","PATRIC.355277.4.NC_008510.CDS.1018466.1020118.fwd","PATRIC","CDS",1018466,1020118,1653,"+","FIG01327039","PLF_171_00001436","PGF_00414087","YP_800254.1",550,"lipL71","treponemal membrane protein B precursor-like protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1100","LBJ_0841","VBILepBor13265_1100","PATRIC.355277.4.NC_008510.CDS.1021063.1021977.fwd","PATRIC","CDS",1021063,1021977,915,"+","FIG00000413","PLF_171_00001364","PGF_04828114","YP_800255.1",304,"nadC","Quinolinate phosphoribosyltransferase [decarboxylating] (EC 2.4.2.19)","GO:0004514|nicotinate-nucleotide diphosphorylase (carboxylating) activity"
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1101","LBJ_0842","VBILepBor13265_1101","PATRIC.355277.4.NC_008510.CDS.1021983.1024007.fwd","PATRIC","CDS",1021983,1024007,2025,"+","FIG01258918","PLF_171_00000698","PGF_00010349","YP_800256.1",674,"spoT","Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase (EC 3.1.7.2) / GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase II","GO:0008893|guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity;GO:0008728|GTP diphosphokinase activity"
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1102","LBJ_0843","VBILepBor13265_1102","PATRIC.355277.4.NC_008510.CDS.1024045.1025823.fwd","PATRIC","CDS",1024045,1025823,1779,"+","FIG00451095","PLF_171_00001307","PGF_02147779","YP_800257.1",592,,"Oligopeptide ABC transporter, substrate-binding protein OppA (TC 3.A.1.5.1)",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1103","LBJ_0844","VBILepBor13265_1103","PATRIC.355277.4.NC_008510.CDS.1025834.1026901.fwd","PATRIC","CDS",1025834,1026901,1068,"+","FIG00765463","PLF_171_00000242","PGF_00319720","YP_800258.1",355,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1105","LBJ_0845","VBILepBor13265_1105","PATRIC.355277.4.NC_008510.CDS.1027646.1028947.fwd","PATRIC","CDS",1027646,1028947,1302,"+","FIG00000117","PLF_171_00000773","PGF_01054379","YP_800259.1",433,"purB","Adenylosuccinate lyase (EC 4.3.2.2) @ SAICAR lyase (EC 4.3.2.2)","GO:0004018|N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity;GO:0004018|(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity"
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1106","LBJ_0846","VBILepBor13265_1106","PATRIC.355277.4.NC_008510.CDS.1028948.1029727.fwd","PATRIC","CDS",1028948,1029727,780,"+","FIG00762940","PLF_171_00000957","PGF_00141358","YP_800260.1",259,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1108","LBJ_0847","VBILepBor13265_1108","PATRIC.355277.4.NC_008510.CDS.1030024.1030830.fwd","PATRIC","CDS",1030024,1030830,807,"+","FIG00769475","PLF_171_00001369","PGF_12841877","YP_800261.1",268,,"Fatty acid hydroxylase family (carotene hydroxylase/sterol desaturase)",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1109","LBJ_0848","VBILepBor13265_1109","PATRIC.355277.4.NC_008510.CDS.1030928.1031266.rev","PATRIC","CDS",1030928,1031266,339,"-","FIG00003845","PLF_171_00002902","PGF_08030842","YP_800262.1",112,,"Transcriptional regulator, ArsR family","GO:0003700|transcription factor activity;GO:0005622|intracellular"
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1110","LBJ_0849","VBILepBor13265_1110","PATRIC.355277.4.NC_008510.CDS.1031318.1031812.fwd","PATRIC","CDS",1031318,1031812,495,"+","FIG00638284","PLF_171_00002266","PGF_08225224","YP_800263.1",164,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1113","LBJ_0852","VBILepBor13265_1113","PATRIC.355277.4.NC_008510.CDS.1033722.1034816.rev","PATRIC","CDS",1033722,1034816,1095,"-","FIG01306568","PLF_171_00000006","PGF_01000105","YP_800264.1",364,,"Mobile element protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.104","LBJ_0088","VBILepBor13265_0104","PATRIC.355277.4.NC_008510.CDS.103480.104139.rev","PATRIC","CDS",103480,104139,660,"-","FIG00000748","PLF_171_00002125","PGF_00016919","YP_799593.1",219,"aat","Leucyl/phenylalanyl-tRNA--protein transferase (EC 2.3.2.6)","GO:0008914|leucyltransferase activity"
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1115","LBJ_0854","VBILepBor13265_1115","PATRIC.355277.4.NC_008510.CDS.1035975.1036133.rev","PATRIC","CDS",1035975,1036133,159,"-",,"PLF_171_00007549","PGF_00965494","YP_800265.1",52,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1117","LBJ_0856","VBILepBor13265_1117","PATRIC.355277.4.NC_008510.CDS.1037127.1037474.fwd","PATRIC","CDS",1037127,1037474,348,"+","FIG00766458","PLF_171_00002770","PGF_00369707","YP_800267.1",115,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1125","LBJ_0860","VBILepBor13265_1125","PATRIC.355277.4.NC_008510.CDS.1040669.1041232.rev","PATRIC","CDS",1040669,1041232,564,"-","FIG00767041","PLF_171_00000253","PGF_08162984","YP_800268.1",187,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1126","LBJ_0861","VBILepBor13265_1126","PATRIC.355277.4.NC_008510.CDS.1041309.1042022.fwd","PATRIC","CDS",1041309,1042022,714,"+","FIG00762925","PLF_171_00001874","PGF_00014656","YP_800269.1",237,,"Integral membrane protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1128","LBJ_0863","VBILepBor13265_1128","PATRIC.355277.4.NC_008510.CDS.1043200.1044294.rev","PATRIC","CDS",1043200,1044294,1095,"-","FIG01306568","PLF_171_00000006","PGF_01000105","YP_800270.1",364,,"Mobile element protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1133","LBJ_0865","VBILepBor13265_1133","PATRIC.355277.4.NC_008510.CDS.1045837.1046280.rev","PATRIC","CDS",1045837,1046280,444,"-","FIG00000967","PLF_171_00001935","PGF_00020996","YP_800271.1",147,"mgsA","Methylglyoxal synthase (EC 4.2.3.3)","GO:0008929|methylglyoxal synthase activity"
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1134","LBJ_0866","VBILepBor13265_1134","PATRIC.355277.4.NC_008510.CDS.1046422.1047225.fwd","PATRIC","CDS",1046422,1047225,804,"+","FIG00764598","PLF_171_00000872","PGF_00080346","YP_800272.1",267,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1135","LBJ_0867","VBILepBor13265_1135","PATRIC.355277.4.NC_008510.CDS.1047317.1048156.rev","PATRIC","CDS",1047317,1048156,840,"-","FIG00767392","PLF_171_00000922","PGF_00392255","YP_800273.1",279,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.106","LBJ_0090","VBILepBor13265_0106","PATRIC.355277.4.NC_008510.CDS.104791.106527.rev","PATRIC","CDS",104791,106527,1737,"-","FIG00001397","PLF_171_00000066","PGF_03439803","YP_799594.1",578,,"Para-aminobenzoate synthase, aminase component (EC 2.6.1.85) / Aminodeoxychorismate lyase (EC 4.1.3.38)","GO:0008696|4-amino-4-deoxychorismate lyase activity"
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1136","LBJ_0868","VBILepBor13265_1136","PATRIC.355277.4.NC_008510.CDS.1048186.1050006.rev","PATRIC","CDS",1048186,1050006,1821,"-","FIG00767071","PLF_171_00000464","PGF_09269788","YP_800274.1",606,,"Lipopolysaccharide export system permease protein LptF",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1137","LBJ_0869","VBILepBor13265_1137","PATRIC.355277.4.NC_008510.CDS.1050003.1051352.rev","PATRIC","CDS",1050003,1051352,1350,"-","FIG00108342","PLF_171_00000530","PGF_08562657","YP_800275.1",449,"miaB-1","tRNA-i(6)A37 methylthiotransferase (EC 2.8.4.3)",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1138","LBJ_0870","VBILepBor13265_1138","PATRIC.355277.4.NC_008510.CDS.1051528.1052028.fwd","PATRIC","CDS",1051528,1052028,501,"+","FIG01395980","PLF_171_00043519","PGF_00304294","YP_800276.1",166,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1139","LBJ_0871","VBILepBor13265_1139","PATRIC.355277.4.NC_008510.CDS.1052025.1052669.fwd","PATRIC","CDS",1052025,1052669,645,"+","FIG00763089","PLF_171_00000965","PGF_00279691","YP_800277.1",214,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1143","LBJ_0873","VBILepBor13265_1143","PATRIC.355277.4.NC_008510.CDS.1054823.1055758.fwd","PATRIC","CDS",1054823,1055758,936,"+","FIG00767327","PLF_171_00002455","PGF_00106402","YP_800278.1",311,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1149","LBJ_0875","VBILepBor13265_1149","PATRIC.355277.4.NC_008510.CDS.1058375.1060249.rev","PATRIC","CDS",1058375,1060249,1875,"-","FIG00000268","PLF_171_00000514","PGF_00007041","YP_800279.1",624,,"GTP-binding protein TypA/BipA","GO:0005525|GTP binding;GO:0006412|translation"
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1150","LBJ_0876","VBILepBor13265_1150","PATRIC.355277.4.NC_008510.CDS.1060988.1061794.fwd","PATRIC","CDS",1060988,1061794,807,"+","FIG01306568","PLF_171_00003358","PGF_02105154","YP_800280.1",268,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1151","LBJ_0877","VBILepBor13265_1151","PATRIC.355277.4.NC_008510.CDS.1062101.1062982.fwd","PATRIC","CDS",1062101,1062982,882,"+","FIG00765352","PLF_171_00000547","PGF_02137949","YP_800281.1",293,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1152","LBJ_0878","VBILepBor13265_1152","PATRIC.355277.4.NC_008510.CDS.1063084.1063941.rev","PATRIC","CDS",1063084,1063941,858,"-","FIG01327854","PLF_171_00002173","PGF_08462977","YP_800282.1",285,,"Pirin",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1154","LBJ_0879","VBILepBor13265_1154","PATRIC.355277.4.NC_008510.CDS.1064520.1065614.fwd","PATRIC","CDS",1064520,1065614,1095,"+","FIG01306568","PLF_171_00000006","PGF_01000105","YP_800283.1",364,,"Mobile element protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.107","LBJ_0091","VBILepBor13265_0107","PATRIC.355277.4.NC_008510.CDS.106594.108768.fwd","PATRIC","CDS",106594,108768,2175,"+","FIG00636985","PLF_171_00000732","PGF_00072260","YP_799595.1",724,,"histidine kinase sensor protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1155","LBJ_0880","VBILepBor13265_1155","PATRIC.355277.4.NC_008510.CDS.1066141.1067091.rev","PATRIC","CDS",1066141,1067091,951,"-","FIG01385422","PLF_171_00001833","PGF_09996723","YP_800284.1",316,,"Uncharacterized MFS-type transporter",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1156","LBJ_0881","VBILepBor13265_1156","PATRIC.355277.4.NC_008510.CDS.1068329.1069075.fwd","PATRIC","CDS",1068329,1069075,747,"+","FIG01737920","PLF_171_00061762","PGF_00744690","YP_800285.1",248,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1158","LBJ_0883","VBILepBor13265_1158","PATRIC.355277.4.NC_008510.CDS.1071271.1072365.fwd","PATRIC","CDS",1071271,1072365,1095,"+","FIG01306568","PLF_171_00000006","PGF_01000105","YP_800286.1",364,,"Mobile element protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1160","LBJ_0885","VBILepBor13265_1160","PATRIC.355277.4.NC_008510.CDS.1073474.1074472.rev","PATRIC","CDS",1073474,1074472,999,"-","FIG00765529","PLF_171_00001421","PGF_00222237","YP_800287.1",332,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1162","LBJ_0886","VBILepBor13265_1162","PATRIC.355277.4.NC_008510.CDS.1074768.1075118.fwd","PATRIC","CDS",1074768,1075118,351,"+","FIG00767944","PLF_171_00002501","PGF_00201748","YP_800288.1",116,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1163","LBJ_0887","VBILepBor13265_1163","PATRIC.355277.4.NC_008510.CDS.1075093.1076475.fwd","PATRIC","CDS",1075093,1076475,1383,"+","FIG00764067","PLF_171_00000925","PGF_00412287","YP_800289.1",460,,"sigma factor regulatory protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1164","LBJ_0888","VBILepBor13265_1164","PATRIC.355277.4.NC_008510.CDS.1076483.1077256.fwd","PATRIC","CDS",1076483,1077256,774,"+","FIG00033206","PLF_171_00002239","PGF_03210551","YP_800290.1",257,,"Enoyl-CoA hydratase (EC 4.2.1.17)","GO:0004300|enoyl-CoA hydratase activity"
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1165","LBJ_0889","VBILepBor13265_1165","PATRIC.355277.4.NC_008510.CDS.1077893.1078348.fwd","PATRIC","CDS",1077893,1078348,456,"+","FIG00432253","PLF_171_00002317","PGF_00760630","YP_800291.1",151,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1166","LBJ_0890","VBILepBor13265_1166","PATRIC.355277.4.NC_008510.CDS.1078380.1078985.rev","PATRIC","CDS",1078380,1078985,606,"-","FIG00767297","PLF_171_00002026","PGF_00408397","YP_800292.1",201,,"putative lipoprotein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1168","LBJ_0891","VBILepBor13265_1168","PATRIC.355277.4.NC_008510.CDS.1079153.1080607.fwd","PATRIC","CDS",1079153,1080607,1455,"+","FIG00002470","PLF_171_00000257","PGF_05144608","YP_800293.1",484,,"Probable poly(beta-D-mannuronate) O-acetylase (EC 2.3.1.-)",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1169","LBJ_0892","VBILepBor13265_1169","PATRIC.355277.4.NC_008510.CDS.1080738.1081097.fwd","PATRIC","CDS",1080738,1081097,360,"+","FIG00763156","PLF_171_00002219","PGF_00148725","YP_800294.1",119,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1170","LBJ_0893","VBILepBor13265_1170","PATRIC.355277.4.NC_008510.CDS.1081161.1081784.fwd","PATRIC","CDS",1081161,1081784,624,"+","FIG00763026","PLF_171_00000373","PGF_00896280","YP_800295.1",207,,"RNA polymerase ECF-type sigma factor",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1171","LBJ_0894","VBILepBor13265_1171","PATRIC.355277.4.NC_008510.CDS.1081790.1082353.fwd","PATRIC","CDS",1081790,1082353,564,"+","FIG00767004","PLF_171_00002384","PGF_00107735","YP_800296.1",187,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1172","LBJ_0895","VBILepBor13265_1172","PATRIC.355277.4.NC_008510.CDS.1082378.1083424.rev","PATRIC","CDS",1082378,1083424,1047,"-","FIG01955782","PLF_171_00000325","PGF_00780840","YP_800297.1",348,,"Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33)","GO:0036380|UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity"
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1173","LBJ_0896","VBILepBor13265_1173","PATRIC.355277.4.NC_008510.CDS.1083519.1084403.fwd","PATRIC","CDS",1083519,1084403,885,"+","FIG00019600","PLF_171_00000971","PGF_00549380","YP_800298.1",294,"dapA","4-hydroxy-tetrahydrodipicolinate synthase (EC 4.3.3.7)","GO:0008840|4-hydroxy-tetrahydrodipicolinate synthase"
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1174","LBJ_0897","VBILepBor13265_1174","PATRIC.355277.4.NC_008510.CDS.1084406.1085215.fwd","PATRIC","CDS",1084406,1085215,810,"+","FIG00000347","PLF_171_00001763","PGF_01176589","YP_800299.1",269,"dapB","4-hydroxy-tetrahydrodipicolinate reductase (EC 1.17.1.8)","GO:0008839|4-hydroxy-tetrahydrodipicolinate reductase"
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1175","LBJ_0898","VBILepBor13265_1175","PATRIC.355277.4.NC_008510.CDS.1085231.1086052.fwd","PATRIC","CDS",1085231,1086052,822,"+","FIG00006310","PLF_171_00001095","PGF_01212500","YP_800300.1",273,,"Diadenylate cyclase spyDAC; Bacterial checkpoint controller DisA with nucleotide-binding domain",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1176","LBJ_0899","VBILepBor13265_1176","PATRIC.355277.4.NC_008510.CDS.1086052.1087110.fwd","PATRIC","CDS",1086052,1087110,1059,"+","FIG00765157","PLF_171_00002000","PGF_00065827","YP_800301.1",352,,"Uncharacterized secreted protein associated with spyDAC",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1177","LBJ_0900","VBILepBor13265_1177","PATRIC.355277.4.NC_008510.CDS.1087107.1087481.fwd","PATRIC","CDS",1087107,1087481,375,"+","FIG00000540","PLF_171_00001453","PGF_10373331","YP_800302.1",124,"acpS","Holo-[acyl-carrier-protein] synthase (EC 2.7.8.7)","GO:0008897|holo-[acyl-carrier-protein] synthase activity"
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1178","LBJ_0901","VBILepBor13265_1178","PATRIC.355277.4.NC_008510.CDS.1087485.1087706.fwd","PATRIC","CDS",1087485,1087706,222,"+","FIG00766129","PLF_171_00001969","PGF_00125423","YP_800303.1",73,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1179","LBJ_0902","VBILepBor13265_1179","PATRIC.355277.4.NC_008510.CDS.1087715.1088092.fwd","PATRIC","CDS",1087715,1088092,378,"+","FIG00762824","PLF_171_00001667","PGF_00034711","YP_800304.1",125,,"Polymer-forming bactofilin",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1180","LBJ_0903","VBILepBor13265_1180","PATRIC.355277.4.NC_008510.CDS.1088115.1088375.fwd","PATRIC","CDS",1088115,1088375,261,"+","FIG00762675","PLF_171_00004252","PGF_00203269","YP_800305.1",86,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1181","LBJ_0904","VBILepBor13265_1181","PATRIC.355277.4.NC_008510.CDS.1088379.1089263.fwd","PATRIC","CDS",1088379,1089263,885,"+","FIG00037273","PLF_171_00000499","PGF_04505269","YP_800306.1",294,"rpsB","SSU ribosomal protein S2p (SAe)","GO:0003735|structural constituent of ribosome;GO:0005622|intracellular;GO:0005840|ribosome;GO:0006412|translation"
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1182","LBJ_0905","VBILepBor13265_1182","PATRIC.355277.4.NC_008510.CDS.1089277.1089876.fwd","PATRIC","CDS",1089277,1089876,600,"+","FIG00000191","PLF_171_00001837","PGF_06936561","YP_800307.1",199,"tsf","Translation elongation factor Ts","GO:0003746|translation elongation factor activity;GO:0006414|translational elongation"
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1183","LBJ_0906","VBILepBor13265_1183","PATRIC.355277.4.NC_008510.CDS.1089880.1090620.fwd","PATRIC","CDS",1089880,1090620,741,"+","FIG00001819","PLF_171_00000480","PGF_02923127","YP_800308.1",246,"pyrH","Uridylate kinase (EC 2.7.4.22)","GO:0033862|UMP kinase activity"
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1184","LBJ_0907","VBILepBor13265_1184","PATRIC.355277.4.NC_008510.CDS.1090610.1091164.fwd","PATRIC","CDS",1090610,1091164,555,"+","FIG00000202","PLF_171_00001672","PGF_00048926","YP_800309.1",184,"frr","Ribosome recycling factor","GO:0006412|translation"
