Systemic ID,Base mean DMC,Base mean IV,Fold Change,P-adjusted,Chromosome,Strand,Start,End,Gene Length,Gene Name,Product
LIC10525,678.20,288.54,2.35,0.227025362,1,-,633834,634472,212,grpE,heat shock protein GrpE
LIC10272,669.08,591.33,1.13,0.982949342,1,-,308932,311052,706,fusA,elongation factor G
LIC10011,667.80,669.36,1.00,1,1,-,15216,15776,186,lipL21,hypothetical protein
LIC12705,639.15,827.75,0.77,0.887866199,1,-,3290073,3292748,891,infB,translation initiation factor IF-2
LIC12966,617.11,822.14,0.75,0.740239958,1,+,3603575,3604642,355,lipL41,hypothetical protein
LIC10523,615.74,390.51,1.58,0.567886568,1,-,630440,631558,372,dnaJ,chaperone protein DnaJ
LIC11463,610.53,336.38,1.82,0.457536121,1,-,1805167,1806276,369,-,hypothetical protein
LIC10191,600.13,352.59,1.70,0.481113506,1,-,220760,221347,195,-,hypothetical protein
LIC12407,590.65,457.75,1.29,0.785396286,1,-,2918187,2919608,473,glnA,glutamine synthetase protein
LIC11531,587.65,359.88,1.63,0.552753593,1,+,1893643,1894491,282,-,flagellin protein
LIC11851,570.14,270.65,2.11,0.117107083,1,-,2244825,2246468,547,impL63,hypothetical protein
LIC11617,569.66,183.09,3.11,0.007388367,1,-,1979639,1979938,99,-,ArsR family transcriptional regulator
LIC13050,567.24,457.67,1.24,0.886319629,1,+,3722466,3723566,366,-,hypothetical protein
LIC12002,566.26,629.78,0.90,0.876992494,1,+,2411697,2413610,637,sdhA,succinate dehydrogenase flavoprotein subunit
LIC12412,563.52,600.30,0.94,0.959236409,1,-,2922888,2925662,924,-,chromosome segregation protein
LIC10973,558.75,540.62,1.03,1,1,-,1173342,1174304,320,ompL1,outer membrane protein
LIC11888,550.35,96.44,5.71,1.33E-08,1,-,2284017,2285354,445,-,hypothetical protein
LIC12701,511.60,795.64,0.64,0.785396286,1,-,3286398,3288494,698,pnpA,polynucleotide phosphorylase/polyadenylase
LIC10723,510.30,294.88,1.73,0.461480152,1,+,880603,882522,639,fliD,flagellar hook-associated protein FliD
LIC12474,505.45,466.18,1.08,1,1,-,2995070,2997832,920,sucA,2-oxoglutarate dehydrogenase E1 component
LIC12447,505.24,556.41,0.91,0.939594161,1,-,2964475,2966157,560,rpsA,30S ribosomal protein S1
LIC20052,495.92,540.13,0.92,0.959432864,2,+,52991,53812,273,scd,fatty acid desaturase
LIC10788,494.55,339.22,1.46,0.704295306,1,+,955059,956006,315,flaA-1,flagellar filament sheath protein
LIC11630,492.84,722.30,0.68,0.698871442,1,+,1995293,1997338,681,fadD,long-chain-fatty-acid CoA ligase
LIC12397,488.53,270.54,1.81,0.375332174,1,-,2902873,2904717,614,-,hypothetical protein
LIC11336,488.12,229.07,2.13,0.223529347,1,-,1648640,1648930,96,groES,co-chaperonin GroES
LIC10816,486.93,1004.74,0.48,0.28945153,1,+,987872,988156,94,-,hypothetical protein
LIC10358,485.86,228.72,2.12,0.106881298,1,-,405339,407159,606,-,hypothetical protein
LIC10209,484.46,571.95,0.85,0.8892324,1,+,238066,239670,534,cyoB,cytochrome c oxidase polypeptide I
LIC12760,475.22,9.69,49.03,2.63E-51,1,+,3359762,3362428,888,-,collagenase precursor
LIC12322,464.64,200.53,2.32,0.048007034,1,+,2800414,2802195,593,-,glutaconate CoA transferase-like protein
LIC10371,459.23,99.70,4.61,9.64E-08,1,-,418037,419479,480,-,lipoprotein
LIC11729,455.95,494.16,0.92,0.9694022,1,+,2103794,2105803,669,fadH,"2,4-dienoyl-coa reductase"
LIC12812,452.04,496.51,0.91,0.848117213,1,-,3417232,3418398,388,mucD,serine protease MucD precursor
LIC13046,440.93,367.66,1.20,0.894124807,1,-,3717927,3718949,340,-,UDP glucosamine N-acyltransferase
LIC11633,440.06,388.45,1.13,0.740239958,1,-,1999985,2000998,337,lpxC,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase
LIC10216,438.80,628.29,0.70,0.712436446,1,+,245239,246831,530,pckA,phosphoenolpyruvate carboxykinase
LIC11241,432.98,332.38,1.30,0.87695331,1,+,1531767,1533278,503,atpA,F0F1 ATP synthase subunit alpha
LIC12587,428.71,250.62,1.71,0.47186393,1,-,3133591,3134241,216,-,lipoprotein
LIC12017,427.28,2010.52,0.21,0.011119362,1,-,2428166,2430748,860,clpB,ATP-dependent protease
LIC11407,425.94,248.67,1.71,0.385454181,1,-,1729200,1731740,846,-,methyl-accepting chemotaxis transmembrane protein
LIC12706,425.06,509.05,0.83,0.942583675,1,-,3292762,3294144,460,nusA,transcription elongation factor NusA
LIC10538,423.93,240.12,1.77,0.387214782,1,+,655378,657012,544,ybiT,ABC transporter ATP-binding protein
LIC20250,416.72,420.43,0.99,0.965784235,2,-,317161,318312,383,-,peptidoglycan-associated cytoplasmic membrane protein
LIC11977,415.89,373.62,1.11,0.90318972,1,-,2382222,2384381,719,-,cyclic nucleotide binding protein
LIC10988,414.17,331.76,1.25,0.848117213,1,+,1195745,1197808,687,-,hypothetical protein
LIC11532,393.28,275.21,1.43,0.726790873,1,-,1895072,1895929,285,-,flagellin protein
LIC11848,392.08,263.20,1.49,0.662101431,1,+,2242765,2243595,276,-,hypothetical protein
LIC20001,387.90,550.50,0.70,0.734680948,2,+,15,2531,838,-,hypothetical protein
LIC11944,387.17,354.63,1.09,0.956051834,1,-,2352392,2355124,910,secA,preprotein translocase subunit SecA
LIC20085,382.31,340.99,1.12,0.939594161,2,+,95220,98963,"1,247",metH,B12-dependent methionine synthase
LIC1nc80,382.04,87.07,4.39,2.52E-06,1,NA,4015037,4015237,201,,
LIC10526,371.17,224.78,1.65,0.490301496,1,-,634486,635514,342,hrcA,heat-inducible transcriptional repressor
LIC13348,370.03,331.63,1.12,0.961187917,1,+,4104748,4106883,711,gyrB,DNA gyrase subunit B
LIC12273,367.76,390.71,0.94,0.969234872,1,-,2745881,2746939,352,-,GGDEF family protein
LIC10222,362.50,467.79,0.77,0.837022471,1,+,252892,256413,"1,173",dnaE,DNA polymerase III subunit alpha
LIC10750,362.08,359.34,1.01,1,1,+,910287,910979,230,rplA,50S ribosomal protein L1
LIC11442,360.04,418.02,0.86,0.848117213,1,-,1779022,1779480,152,-,hypothetical protein
LIC10850,348.74,369.36,0.94,0.980707913,1,+,1026500,1027384,294,rpsB,30S ribosomal protein S2
LIC12795,348.22,228.00,1.53,0.827205443,1,-,3402298,3403623,441,-,acetyl-CoA acetyltransferase
LIC11791,347.19,488.99,0.71,0.645820574,1,-,2182516,2184225,569,recG,ATP-dependent DNA helicase
LIC20118,346.30,289.42,1.20,0.87695331,2,-,141160,141501,113,-,hypothetical protein
LIC10672,342.81,279.34,1.23,0.908086617,1,-,817144,817833,229,-,hypothetical protein
LIC11274,342.09,179.70,1.90,0.200609577,1,+,1574168,1575277,369,-,hypothetical protein
LIC11498,341.27,278.73,1.22,0.775608226,1,+,1846811,1850224,"1,137",-,hypothetical protein
LIC20044,340.90,284.89,1.20,0.97755281,2,+,45066,46889,607,htpG,heat shock protein 90
LIC10309,330.87,273.58,1.21,0.902469134,1,-,350674,353568,964,gcvP,glycine dehydrogenase
LIC13314,330.74,398.58,0.83,0.867062078,1,-,4061643,4063670,675,-,hypothetical protein
LIC10415,328.82,83.67,3.93,5.73E-06,1,-,473977,474495,172,-,hypothetical protein
LIC12327,327.69,277.36,1.18,0.846137378,1,+,2809541,2811019,492,-,adenylate/guanylate cyclase
LIC10094,326.90,246.96,1.32,0.728997884,1,-,111018,113075,685,-,long-chain-fatty-acid CoA ligase
LIC10787,324.30,196.12,1.65,0.42987832,1,+,954316,955035,239,flaA-2,flagellar filament sheath protein
LIC12003,323.88,293.13,1.10,0.982949342,1,+,2413610,2414341,243,sdhB,succinate dehydrogenase/fumarate reductase iron-sulfur subunit
LIC13183,322.26,208.60,1.54,0.645820574,1,-,3894674,3895057,127,-,methyl-accepting chemotaxis-like
LIC10359,318.87,155.47,2.05,0.106881298,1,-,407165,407758,197,-,hypothetical protein
LIC10875,316.42,468.48,0.68,0.684055422,1,+,1059271,1060644,457,-,molybdopterin oxidoredutase membrane subunit
LIC10208,315.85,401.56,0.79,0.814269036,1,+,237054,238055,333,cyoA,cytochrome c oxidase polypeptide II
LIC10214,314.98,466.81,0.67,0.670624835,1,+,243511,244104,197,-,CarD transcriptional regulator
LIC11441,314.25,340.03,0.92,0.866044857,1,-,1778576,1779052,158,-,hypothetical protein
LIC11071,311.37,158.21,1.97,0.127976749,1,-,1323561,1323884,107,-,hypothetical protein
LIC10987,308.58,235.41,1.31,0.728997884,1,+,1194725,1195648,307,-,hypothetical protein
LIC11708,308.41,164.75,1.87,0.189601855,1,-,2074740,2075888,382,-,histidine kinase response regulator hybrid protein
LIC10314,302.63,194.04,1.56,0.577097006,1,-,357239,358912,557,-,hypothetical protein
LIC11003,301.80,463.67,0.65,0.688288083,1,-,1220930,1222597,555,lipL71,hypothetical protein
LIC10432,301.73,578.03,0.52,0.315841494,1,+,492131,494098,655,ftsH,cell division protein
LIC11781,292.41,339.20,0.86,0.778112748,1,-,2173072,2174052,326,mdh,malate dehydrogenase
LIC10064,291.08,123.61,2.35,0.054662942,1,-,83798,84280,160,-,hypothetical protein
LIC11620,290.54,360.65,0.81,0.64516031,1,+,1982343,1984049,568,recN,DNA repair protein
LIC11380,288.52,206.87,1.39,0.675898057,1,+,1697815,1698615,266,-,RNA polymerase sigma factor WhiG
LIC11243,283.20,246.60,1.15,0.996409467,1,+,1534171,1535574,467,atpD,F0F1 ATP synthase subunit beta
LIC11381,279.09,177.02,1.58,0.559094097,1,+,1698641,1700626,661,-,hypothetical protein
LIC12632,272.66,67.81,4.02,1.52E-05,1,+,3186233,3188023,596,-,hemolysin
LIC12707,270.87,286.50,0.95,0.97755281,1,-,3294146,3294634,162,-,hypothetical protein
LIC10878,269.75,345.72,0.78,0.771949693,1,+,1061797,1063020,407,-,hypothetical protein
LIC11489,269.67,269.96,1.00,1,1,-,1837015,1838349,444,-,hypothetical protein
LIC12873,268.42,352.27,0.76,0.748189301,1,-,3468508,3469128,206,rplC,50S ribosomal protein L3
LIC12402,268.18,267.06,1.00,1,1,-,2909727,2911964,745,purQ,phosphoribosylformylglycinamidine synthase II
LIC10461,266.53,75.22,3.54,0.000183746,1,-,525211,525549,112,-,lipoprotein
LIC12921,263.19,320.97,0.82,0.831131408,1,+,3545035,3547113,692,mcpA,methyl-accepting chemotaxis protein
LIC10360,261.52,286.59,0.91,0.8892324,1,-,407883,408842,319,etfA,electron transfer flavoprotein alpha-subunit
LIC11309,259.50,351.81,0.74,0.726790873,1,-,1616487,1617737,416,-,hypothetical protein
LIC13286,258.78,338.93,0.76,0.699544794,1,-,4029209,4029790,193,-,hypothetical protein
LIC12099,258.43,13.25,19.50,1.03E-26,1,+,2538473,2539903,476,-,hypothetical protein
LIC12694,258.34,401.84,0.64,0.491947219,1,-,3275177,3279673,"1,498",-,glutamate synthase (NADPH) subunit alpha precursor
LIC11782,255.19,343.23,0.74,0.666607317,1,-,2174079,2175125,348,-,hypothetical protein
LIC11177,254.19,104.55,2.43,0.02671665,1,+,1447238,1447702,154,-,hypothetical protein
LIC11955,251.66,155.27,1.62,0.439225583,1,+,2362667,2363227,186,-,hypothetical protein
LIC10299,250.84,31.81,7.89,4.89E-16,1,-,341482,341913,143,flgB,flagellar basal body rod protein FlgB
LIC13392,249.16,412.14,0.60,0.382977384,1,-,4155708,4157330,540,-,polysaccharide deacetylase
LIC10752,249.04,216.15,1.15,0.887866199,1,+,911590,911973,127,rplL,50S ribosomal protein L7/L12
LIC12209,247.55,31.88,7.76,2.75E-15,1,+,2665593,2667008,471,-,lipoprotein
LIC10054,247.47,64.47,3.84,1.44E-05,1,+,66432,67397,321,rlpA,lipoprotein
LIC10745,245.43,226.12,1.09,0.90318972,1,+,908860,908934,75,tRNA-Thr-GGT,Thr tRNA
LIC20259,244.30,143.89,1.70,0.528935878,2,-,325324,325737,137,-,hypothetical protein
LIC10088,243.98,388.42,0.63,0.462502076,1,+,103786,105066,426,-,hypothetical protein
LIC11608,243.79,113.75,2.14,0.184959215,1,+,1968705,1969394,229,-,hypothetical protein
LIC13073,243.28,180.07,1.35,0.518473197,1,-,3754017,3754646,209,-,TetR family transcriptional regulator
LIC11456,240.93,209.29,1.15,0.918410052,1,+,1796015,1796740,241,lipL31,hypothetical protein
LIC10125,239.88,433.57,0.55,0.431759951,1,+,146953,150546,"1,197",-,hypothetical protein
LIC11885,238.61,229.33,1.04,1,1,+,2280846,2282084,412,-,lipoprotein
LIC12400,237.83,240.86,0.99,0.991660653,1,-,2906306,2909050,914,ileS,isoleucyl-tRNA synthetase
LIC11239,237.63,211.07,1.13,1,1,+,1530691,1531212,173,atpF,F0F1 ATP synthase subunit B
LIC12198,237.31,180.58,1.31,0.848117213,1,-,2651131,2652231,366,-,aminotransferase
LIC12867,234.12,303.77,0.77,0.848836589,1,-,3465389,3466066,225,rpsC,30S ribosomal protein S3
LIC12323,233.69,130.75,1.79,0.284774304,1,+,2802229,2803197,322,-,type III beta-ketoacyl synthase-like protein
LIC10724,232.86,106.25,2.19,0.111136009,1,+,882540,883496,318,-,hypothetical protein
LIC20096,231.97,165.61,1.40,0.848117213,2,+,112958,114055,365,-,hypothetical protein
LIC13347,230.49,183.11,1.26,0.846380331,1,+,4103363,4104751,462,-,DNA gyrase subunit A
LIC11985,228.75,290.40,0.79,0.939594161,1,-,2390710,2390985,91,-,RNA-binding protein
LIC12163,227.86,201.79,1.13,0.90318972,1,-,2613060,2614868,602,-,hypothetical protein
LIC10344,227.31,253.03,0.90,0.916889072,1,+,389836,390102,88,-,anti-sigma factor antagonist
LIC12200,227.05,164.54,1.38,0.728997884,1,-,2653232,2654761,509,-,ADP-heptose synthetase
LIC10027,226.48,111.57,2.03,0.188404394,1,+,34184,34888,234,-,hypothetical protein
LIC12876,224.82,339.35,0.66,0.614971701,1,-,3470720,3472585,621,fus,elongation factor G
LIC10851,223.82,261.66,0.86,0.878380778,1,+,1027396,1027995,199,tsf,elongation factor Ts
LIC11246,223.60,205.39,1.09,0.864132758,1,+,1536340,1539645,"1,101",-,hypothetical protein
LIC20205,222.84,149.57,1.49,0.686203284,2,-,263228,264097,289,-,hypothetical protein
LIC12169,222.14,186.14,1.19,0.862239835,1,-,2620267,2622528,753,sas,sialic acid synthase
LIC20065,221.41,371.36,0.60,0.224452894,2,+,71920,72153,77,acpP,acyl carrier protein
LIC12475,220.92,229.61,0.96,1,1,-,2997856,2999259,467,lpdA,dihydrolipoamide dehydrogenase
LIC10751,220.54,204.08,1.08,0.935075107,1,+,911007,911540,177,rplJ,50S ribosomal protein L10
LIC10484,220.40,272.93,0.81,0.740239958,1,+,560695,562044,449,thrC,threonine synthase
LIC10483,216.18,232.55,0.93,0.900998715,1,+,559699,560691,330,-,hypothetical protein
LIC12033,214.71,256.46,0.84,0.930367289,1,-,2453793,2454338,181,ankB,ankyrin
LIC11074,214.40,170.26,1.26,0.907471287,1,+,1325501,1326199,232,-,hypothetical protein
LIC12870,213.98,273.67,0.78,0.875510762,1,-,3466701,3467540,279,rplB,50S ribosomal protein L2
LIC12846,213.91,304.65,0.70,0.740239958,1,-,3455526,3456503,325,rpoA,DNA-directed RNA polymerase subunit alpha
LIC12182,213.66,118.08,1.81,0.361391936,1,-,2635253,2637070,605,-,ABC transporter ATP-binding protein
LIC10124,212.81,312.86,0.68,0.603669547,1,+,145301,146956,551,-,hypothetical protein
LIC11008,211.73,213.85,0.99,1,1,+,1225277,1227088,603,-,hypothetical protein
LIC11238,211.68,174.35,1.21,0.946952964,1,+,1530361,1530687,108,atpE,ATP synthase C chain
LIC12325,210.49,152.45,1.38,0.649080579,1,+,2808602,2809156,184,-,hypothetical protein
LIC12629,210.09,125.21,1.68,0.391105912,1,+,3180828,3181655,275,ech3,enoyl-CoA hydratase
LIC10462,209.53,41.24,5.08,3.17E-07,1,-,525559,525939,126,-,lipoprotein
LIC11418,209.04,266.86,0.78,0.875510762,1,+,1743955,1745217,420,clpX,ATP-dependent protease ATP-binding subunit ClpX
LIC11220,208.62,141.77,1.47,0.686203284,1,+,1503299,1504714,471,-,ABC transporter permease
LIC12476,208.57,219.43,0.95,0.969234872,1,-,2999273,3000538,421,sucB,dihydrolipoamide succinyltransferase
LIC11391,206.85,208.79,0.99,0.989003564,1,-,1707012,1708376,454,fliI,hypothetical protein
LIC11951,206.29,239.60,0.86,0.844358791,1,-,2359332,2359925,197,-,"ATP-dependent Clp protease-like, proteolytic subunit"
LIC11919,206.04,230.55,0.89,0.848117213,1,-,2316145,2317671,508,guaB,IMP dehydrogenase
LIC10713,205.90,122.91,1.68,0.614971701,1,-,860939,862261,440,-,lipoprotein
LIC20175,204.53,274.51,0.75,0.774545353,2,-,214536,214988,150,dksA,dnaK suppressor
LIC12335,203.08,243.85,0.83,0.788008073,1,+,2819403,2820650,415,glyA,serine hydroxymethyltransferase
LIC10384,202.36,431.46,0.47,0.19582705,1,+,436231,438249,672,-,hypothetical protein
LIC11209,202.21,134.91,1.50,0.667470186,1,-,1490135,1490539,134,-,hypothetical protein
LIC12090,201.96,291.14,0.69,0.574233932,1,+,2529145,2530152,335,gapA,glyceraldehyde-3-phosphate dehydrogenase
LIC12874,200.94,262.66,0.77,0.80522168,1,-,3469141,3469449,102,rpsJ,30S ribosomal protein S10
LIC20260,200.45,120.68,1.66,0.502283216,2,+,326271,326654,127,-,hypothetical protein
LIC12853,200.06,263.52,0.76,0.821881715,1,-,3458869,3460251,460,secY,preprotein translocase subunit SecY
LIC10474,199.49,206.54,0.97,0.907914068,1,-,548766,549194,142,-,hypothetical protein
LIC13244,199.47,189.47,1.05,0.989003564,1,-,3979829,3981025,398,icdA,isocitrate dehydrogenase
LIC20301,198.51,202.20,0.98,0.937147265,2,+,325976,326254,92,-,hypothetical protein
LIC1nc20,198.34,135.42,1.46,0.726790873,1,NA,263598,264013,416,sRNA -,PyrR binding site
LIC12575,196.76,189.93,1.04,0.963617412,1,+,3122795,3124372,525,-,hypothetical protein
LIC11515,196.29,222.13,0.88,0.935920823,1,+,1871066,1873882,938,-,hypothetical protein
LIC20197,196.16,144.80,1.35,0.704295306,2,+,250455,252854,799,-,cysteine protease
LIC13285,196.00,262.37,0.75,0.668162315,1,-,4028692,4029201,169,-,RNA polymerase ECF-type sigma factor
LIC11186,194.90,82.18,2.37,0.037205384,1,+,1460017,1461582,521,flbC,flagellar protein
LIC10361,194.88,237.00,0.82,0.744033226,1,-,408854,409615,253,etfB2,electron transport flavoprotein subunit beta
LIC11976,193.80,218.15,0.89,0.942729818,1,-,2381074,2382204,376,-,acyl-CoA dehydrogenase
LIC12199,193.78,149.49,1.30,0.908048823,1,-,2652237,2653229,330,-,UDP-glucose 4-epimerase
LIC12082,193.74,183.51,1.06,0.936615403,1,-,2521078,2522007,309,cysK,cysteine synthase
LIC13074,193.57,262.44,0.74,0.744033226,1,-,3754753,3758004,"1,083",-,acriflavin resistance
LIC12001,193.54,176.77,1.09,1,1,+,2410998,2411678,226,sdhC,succinate dehydrogenase cytochrome subunit B
LIC10357,193.37,93.62,2.07,0.106428156,1,-,404374,405342,322,trpS,tryptophanyl-tRNA synthetase
LIC12188,193.28,152.31,1.27,0.862038838,1,-,2641678,2642895,405,-,hypothetical protein
LIC11242,190.49,175.90,1.08,0.987027574,1,+,1533293,1534153,286,atpG,F0F1 ATP synthase subunit gamma
LIC12091,190.28,281.95,0.67,0.608826543,1,+,2530156,2531346,396,pgk,phosphoglycerate kinase
LIC12646,189.16,135.52,1.40,0.726228076,1,-,3206079,3208835,918,-,membrane carboxypeptidase
LIC11370,188.27,166.50,1.13,0.90318972,1,+,1687104,1688168,354,fliN,flagellar motor switch protein
LIC10426,187.00,198.87,0.94,0.977157254,1,+,488013,488906,297,ispE,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
LIC11839,186.10,151.03,1.23,0.820203343,1,-,2235000,2235875,291,ppiB,peptidyl-prolyl cis-trans isomerase
LIC11182,184.72,135.34,1.36,0.793151601,1,+,1453795,1454316,173,-,hypothetical protein
LIC12852,184.59,191.05,0.97,0.991011321,1,-,3458298,3458861,187,adk,adenylate kinase
LIC11258,182.44,207.73,0.88,0.939594161,1,+,1554326,1555348,340,mreB,rod shape-determining protein MreB
LIC10463,181.61,54.86,3.31,0.000480843,1,-,525914,526393,159,-,lipoprotein
LIC12858,180.75,240.96,0.75,0.714141011,1,-,3461896,3462435,179,rplF,50S ribosomal protein L6
LIC13262,180.14,200.11,0.90,0.955654962,1,-,3999615,4001087,490,purF,glutamine phosphoribosylpyrophosphate amidotransferase
LIC10586,179.93,121.55,1.48,0.464457743,1,-,711562,714315,917,polA,DNA polymerase I
LIC10221,179.83,119.06,1.51,0.548480269,1,+,250120,251580,486,gatB,aspartyl/glutamyl-tRNA amidotransferase subunit B
LIC12305,179.75,163.94,1.10,0.907471287,1,-,2779574,2780194,206,lexA,LexA repressor
LIC12861,179.60,246.21,0.73,0.662101431,1,-,3463088,3463636,182,rplE,50S ribosomal protein L5
LIC10748,178.19,212.56,0.84,0.836965101,1,+,909280,909825,181,nusG,transcription antitermination protein
LIC11310,177.82,202.40,0.88,0.848117213,1,-,1617734,1618270,178,bfr,bacterioferritin
LIC12205,177.04,134.12,1.32,0.722254306,1,-,2658241,2659185,314,fcl,GDP-l-fucose synthetase
LIC11409,176.57,126.55,1.40,0.744033226,1,+,1733773,1735551,592,-,acetolactate synthase large subunit
LIC11013,176.23,152.58,1.16,0.858439769,1,+,1235991,1237790,599,oppA,hypothetical protein
LIC10226,175.92,188.59,0.93,0.941154694,1,+,259266,259994,242,-,hypothetical protein
LIC11392,175.45,89.93,1.95,0.153126932,1,+,1709642,1711342,566,fliF,flagellar MS-ring protein
LIC11416,175.07,200.54,0.87,0.939594161,1,+,1741996,1743351,451,tig,FKBP-type peptidyl-prolyl cis-trans isomerase
LIC20082,172.54,91.63,1.88,0.143367023,2,+,92473,93489,338,-,ArsR family transcriptional regulator
LIC11188,172.36,152.46,1.13,0.953945329,1,+,1462419,1463813,464,flgE,flagellar hook protein FlgE
LIC10862,171.97,224.85,0.76,0.728997884,1,+,1038201,1040513,770,-,adenylate/guanylate cyclase
LIC12197,171.22,152.23,1.12,0.977157254,1,-,2650019,2651122,367,-,aminotransferase
LIC12636,170.85,216.12,0.79,0.774974031,1,+,3195007,3196455,482,rho,transcription termination factor Rho
LIC12854,170.82,252.01,0.68,0.502480572,1,-,3460266,3460808,180,rplO,50S ribosomal protein L15
LIC12845,169.77,207.43,0.82,0.889068899,1,-,3455009,3455524,171,rplQ,50S ribosomal protein L17
LIC20035,168.37,200.92,0.84,0.812280127,2,+,34573,35895,440,-,hypothetical protein
