"","label","group"
"175","temp29_175","29°C"
"176","temp29_176","29°C"
"177","temp29_177","29°C"
"178","temp29_178","29°C"
"179","temp29_179","29°C"
"180","temp29_180","29°C"
"181","temp29_181","29°C"
"182","temp29_182","29°C"
"183","temp29_183","29°C"
"184","temp29_184","29°C"
"185","temp29_185","29°C"
"186","temp29_186","29°C"
"187","temp29_187","29°C"
"188","temp29_188","29°C"
"189","temp29_189","29°C"
"190","temp29_190","29°C"
"191","temp29_191","29°C"
"192","temp29_192","29°C"
"193","temp29_193","29°C"
"194","temp29_194","29°C"
"195","temp29_195","29°C"
"196","temp29_196","29°C"
"197","temp29_197","29°C"
"198","temp29_198","29°C"
"199","temp29_199","29°C"
"200","temp29_200","29°C"
"201","temp29_201","29°C"
"202","temp29_202","29°C"
"203","temp29_203","29°C"
"204","temp29_204","29°C"
"205","temp29_205","29°C"
"206","temp29_206","29°C"
"207","temp29_207","29°C"
"208","temp29_208","29°C"
"209","temp29_209","29°C"
"210","temp29_210","29°C"
"211","temp29_211","29°C"
"212","temp29_212","29°C"
"213","temp29_213","29°C"
"214","temp29_214","29°C"
"215","temp29_215","29°C"
"216","temp29_216","29°C"
"217","temp29_217","29°C"
"218","temp29_218","29°C"
"219","temp29_219","29°C"
"220","temp29_220","29°C"
"221","temp29_221","29°C"
"222","temp29_222","29°C"
"223","temp29_223","29°C"
"224","temp29_224","29°C"
"225","temp29_225","29°C"
"226","temp29_226","29°C"
"227","temp29_227","29°C"
"228","temp29_228","29°C"
"229","temp29_229","29°C"
"230","temp29_230","29°C"
"231","temp29_231","29°C"
"232","temp29_232","29°C"
"233","temp29_233","29°C"
"234","temp29_234","29°C"
"235","temp29_235","29°C"
"236","temp29_236","29°C"
"237","temp29_237","29°C"
"238","temp29_238","29°C"
"239","temp29_239","29°C"
"240","temp29_240","29°C"
"241","temp29_241","29°C"
"242","temp29_242","29°C"
"243","temp29_243","29°C"
"244","temp29_244","29°C"
"245","temp29_245","29°C"
"246","temp29_246","29°C"
"247","temp29_247","29°C"
"248","temp29_248","29°C"
"249","temp29_249","29°C"
"250","temp29_250","29°C"
"251","temp29_251","29°C"
"252","temp29_252","29°C"
"253","temp29_253","29°C"
"254","temp29_254","29°C"
"255","temp29_255","29°C"
"256","temp29_256","29°C"
"257","temp29_257","29°C"
"258","temp29_258","29°C"
"259","temp29_259","29°C"
"260","temp29_260","29°C"
"261","temp29_261","29°C"
"262","temp29_262","29°C"
"263","temp29_263","29°C"
"264","temp29_264","29°C"
"265","temp29_265","29°C"
"266","temp29_266","29°C"
"267","temp29_267","29°C"
"268","temp29_268","29°C"
"269","temp29_269","29°C"
"270","temp29_270","29°C"
"271","temp29_271","29°C"
"272","temp29_272","29°C"
"273","temp29_273","29°C"
"274","temp29_274","29°C"
"275","temp29_275","29°C"
"276","temp29_276","29°C"
"277","temp29_277","29°C"
"278","temp29_278","29°C"
"279","temp29_279","29°C"
"280","temp29_280","29°C"
"281","temp29_281","29°C"
"282","temp29_282","29°C"
"283","temp29_283","29°C"
"284","temp29_284","29°C"
"285","temp29_285","29°C"
"286","temp29_286","29°C"
"287","temp29_287","29°C"
"288","temp29_288","29°C"
"289","temp29_289","29°C"
"290","temp29_290","29°C"
"291","temp29_291","29°C"
"292","temp29_292","29°C"
"293","temp29_293","29°C"
"294","temp29_294","29°C"
"295","temp29_295","29°C"
"296","temp29_296","29°C"
"297","temp29_297","29°C"
"298","temp29_298","29°C"
"299","temp29_299","29°C"
"300","temp29_300","29°C"
"301","temp29_301","29°C"
"302","temp29_302","29°C"
"303","temp29_303","29°C"
"304","temp29_304","29°C"
"305","temp29_305","29°C"
"306","temp29_306","29°C"
"307","temp29_307","29°C"
"308","temp29_308","29°C"
"309","temp29_309","29°C"
"310","temp29_310","29°C"
"311","temp29_311","29°C"
"312","temp29_312","29°C"
"313","temp29_313","29°C"
"314","temp29_314","29°C"
"315","temp29_315","29°C"
"316","temp29_316","29°C"
"317","temp29_317","29°C"
"318","temp29_318","29°C"
"319","temp29_319","29°C"
"320","temp29_320","29°C"
"321","temp29_321","29°C"
"322","temp29_322","29°C"
"323","temp29_323","29°C"
"324","temp29_324","29°C"
"325","temp29_325","29°C"
"326","temp29_326","29°C"
"327","temp29_327","29°C"
"328","temp29_328","29°C"
"329","temp29_329","29°C"
"330","temp29_330","29°C"
"331","temp29_331","29°C"
"332","temp29_332","29°C"
"333","temp29_333","29°C"
"334","temp29_334","29°C"
"335","temp29_335","29°C"
"336","temp29_336","29°C"
"337","temp29_337","29°C"
"338","temp29_338","29°C"
"339","temp29_339","29°C"
"340","temp29_340","29°C"
"341","temp29_341","29°C"
"342","temp29_342","29°C"
"343","temp29_343","29°C"
"344","temp29_344","29°C"
"345","temp29_345","29°C"
"346","temp29_346","29°C"
"347","temp29_347","29°C"
"348","temp29_348","29°C"
"349","temp29_349","29°C"
"350","temp29_350","29°C"
"351","temp29_351","29°C"
"352","temp29_352","29°C"
"353","temp29_353","29°C"
"354","temp29_354","29°C"
"355","temp29_355","29°C"
"356","temp29_356","29°C"
"357","temp29_357","29°C"
"358","temp29_358","29°C"
"359","temp29_359","29°C"
"360","temp29_360","29°C"
"361","temp29_361","29°C"
"362","temp29_362","29°C"
"363","temp29_363","29°C"
"364","temp29_364","29°C"
"365","temp29_365","29°C"
"366","temp29_366","29°C"
"367","temp29_367","29°C"
"368","temp29_368","29°C"
"369","temp29_369","29°C"
"370","temp29_370","29°C"
"371","temp29_371","29°C"
"372","temp29_372","29°C"
"373","temp29_373","29°C"
"374","temp29_374","29°C"
"375","temp29_375","29°C"
"376","temp29_376","29°C"
"377","temp29_377","29°C"
"378","temp29_378","29°C"
"379","temp29_379","29°C"
"380","temp29_380","29°C"
"381","temp29_381","29°C"
"382","temp29_382","29°C"
"383","temp29_383","29°C"
"384","temp29_384","29°C"
"385","temp29_385","29°C"
"386","temp29_386","29°C"
"387","temp29_387","29°C"
"388","temp29_388","29°C"
"389","temp29_389","29°C"
"390","temp29_390","29°C"
"391","temp29_391","29°C"
"392","temp29_392","29°C"
"393","temp29_393","29°C"
"394","temp29_394","29°C"
"395","temp29_395","29°C"
"396","temp29_396","29°C"
"397","temp29_397","29°C"
"398","temp29_398","29°C"
"399","temp29_399","29°C"
"400","temp29_400","29°C"
"401","temp29_401","29°C"
"402","temp29_402","29°C"
"403","temp29_403","29°C"
"404","temp29_404","29°C"
"405","temp29_405","29°C"
"406","temp29_406","29°C"
"407","temp29_407","29°C"
"408","temp29_408","29°C"
"409","temp29_409","29°C"
"410","temp29_410","29°C"
"411","temp29_411","29°C"
"412","temp29_412","29°C"
"413","temp29_413","29°C"
"414","temp29_414","29°C"
"415","temp29_415","29°C"
"416","temp29_416","29°C"
"417","temp29_417","29°C"
"418","temp29_418","29°C"
"419","temp29_419","29°C"
"420","temp29_420","29°C"
"421","temp29_421","29°C"
"422","temp29_422","29°C"
"423","temp29_423","29°C"
"424","temp29_424","29°C"
"425","temp29_425","29°C"
"426","temp29_426","29°C"
"427","temp29_427","29°C"
"428","temp29_428","29°C"
"429","temp29_429","29°C"
"430","temp29_430","29°C"
"431","temp29_431","29°C"
"432","temp29_432","29°C"
"433","temp29_433","29°C"
"434","temp29_434","29°C"
"435","temp29_435","29°C"
"436","temp29_436","29°C"
"437","temp29_437","29°C"
"438","temp29_438","29°C"
"439","temp29_439","29°C"
"440","temp29_440","29°C"
"441","temp29_441","29°C"
"442","temp29_442","29°C"
"443","temp29_443","29°C"
"444","temp29_444","29°C"
"445","temp29_445","29°C"
"446","temp29_446","29°C"
"447","temp29_447","29°C"
"448","temp29_448","29°C"
"449","temp29_449","29°C"
"450","temp29_450","29°C"
"451","temp29_451","29°C"
"452","temp29_452","29°C"
"453","temp29_453","29°C"
"454","temp29_454","29°C"
"455","temp29_455","29°C"
"456","temp29_456","29°C"
"457","temp29_457","29°C"
"458","temp29_458","29°C"
"459","temp29_459","29°C"
"460","temp29_460","29°C"
"461","temp29_461","29°C"
"462","temp29_462","29°C"
"463","temp29_463","29°C"
"464","temp29_464","29°C"
"465","temp29_465","29°C"
"466","temp29_466","29°C"
"467","temp29_467","29°C"
"468","temp29_468","29°C"
"469","temp29_469","29°C"
"470","temp29_470","29°C"
"471","temp29_471","29°C"
"472","temp29_472","29°C"
"473","temp29_473","29°C"
"474","temp29_474","29°C"
"475","temp29_475","29°C"
"476","temp29_476","29°C"
"477","temp29_477","29°C"
"478","temp29_478","29°C"
"479","temp29_479","29°C"
"480","temp29_480","29°C"
"481","temp29_481","29°C"
"482","temp29_482","29°C"
"483","temp29_483","29°C"
"484","temp29_484","29°C"
"485","temp29_485","29°C"
"486","temp29_486","29°C"
"487","temp29_487","29°C"
"488","temp29_488","29°C"
"489","temp29_489","29°C"
"490","temp29_490","29°C"
"491","temp29_491","29°C"
"492","temp29_492","29°C"
"493","temp29_493","29°C"
"494","temp29_494","29°C"
"495","temp29_495","29°C"
"496","temp29_496","29°C"
"497","temp29_497","29°C"
"498","temp29_498","29°C"
"499","temp29_499","29°C"
"500","temp29_500","29°C"
"501","temp29_501","29°C"
"502","temp29_502","29°C"
"503","temp29_503","29°C"
"504","temp29_504","29°C"
"505","temp29_505","29°C"
"506","temp29_506","29°C"
"507","temp29_507","29°C"
"508","temp29_508","29°C"
"509","temp29_509","29°C"
"510","temp29_510","29°C"
"511","temp29_511","29°C"
"512","temp29_512","29°C"
"513","temp29_513","29°C"
"514","temp29_514","29°C"
"515","temp29_515","29°C"
"516","temp29_516","29°C"
"517","temp29_517","29°C"
"518","temp29_518","29°C"
"519","temp29_519","29°C"
"520","temp29_520","29°C"
"521","temp29_521","29°C"
"522","temp29_522","29°C"
"523","temp29_523","29°C"
"524","temp29_524","29°C"
"525","temp29_525","29°C"
"526","temp29_526","29°C"
"527","temp29_527","29°C"
"528","temp29_528","29°C"
"529","temp29_529","29°C"
"530","temp29_530","29°C"
"531","temp29_531","29°C"
"532","temp29_532","29°C"
"533","temp29_533","29°C"
"534","temp29_534","29°C"
"535","temp29_535","29°C"
"536","temp29_536","29°C"
"537","temp29_537","29°C"
"538","temp29_538","29°C"
"539","temp29_539","29°C"
"540","temp29_540","29°C"
"541","temp29_541","29°C"
"542","temp29_542","29°C"
"543","temp29_543","29°C"
"544","temp29_544","29°C"
"545","temp29_545","29°C"
"546","temp29_546","29°C"
"547","temp29_547","29°C"
"548","temp29_548","29°C"
"549","temp29_549","29°C"
"550","temp29_550","29°C"
"551","temp29_551","29°C"
"552","temp29_552","29°C"
"553","temp29_553","29°C"
"554","temp29_554","29°C"
"555","temp29_555","29°C"
"556","temp29_556","29°C"
"557","temp29_557","29°C"
"558","temp29_558","29°C"
"559","temp29_559","29°C"
"560","temp29_560","29°C"
"561","temp29_561","29°C"
"562","temp29_562","29°C"
"563","temp29_563","29°C"
"564","temp29_564","29°C"
"565","temp29_565","29°C"
"566","temp29_566","29°C"
"567","temp29_567","29°C"
"568","temp29_568","29°C"
"569","temp29_569","29°C"
"570","temp29_570","29°C"
"571","temp29_571","29°C"
"572","temp29_572","29°C"
"573","temp29_573","29°C"
"574","temp29_574","29°C"
"575","temp29_575","29°C"
"576","temp29_576","29°C"
"577","temp29_577","29°C"
"578","temp29_578","29°C"
"579","temp29_579","29°C"
"580","temp29_580","29°C"
"581","temp29_581","29°C"
"582","temp29_582","29°C"
"583","temp29_583","29°C"
"584","temp29_584","29°C"
"585","temp29_585","29°C"
"586","temp29_586","29°C"
"587","temp29_587","29°C"
"588","temp29_588","29°C"
"589","temp29_589","29°C"
"590","temp29_590","29°C"
"591","temp29_591","29°C"
"592","temp29_592","29°C"
"593","temp29_593","29°C"
"594","temp29_594","29°C"
"595","temp29_595","29°C"
"596","temp29_596","29°C"
"597","temp29_597","29°C"
"598","temp29_598","29°C"
"599","temp29_599","29°C"
"600","temp29_600","29°C"
"601","temp29_601","29°C"
"602","temp29_602","29°C"
"603","temp29_603","29°C"
"604","temp29_604","29°C"
"605","temp29_605","29°C"
"606","temp29_606","29°C"
"607","temp29_607","29°C"
"608","temp29_608","29°C"
"609","temp29_609","29°C"
"610","temp29_610","29°C"
"611","temp29_611","29°C"
"612","temp29_612","29°C"
"613","temp29_613","29°C"
"614","temp29_614","29°C"
"615","temp29_615","29°C"
"616","temp29_616","29°C"
"617","temp29_617","29°C"
"618","temp29_618","29°C"
"619","temp29_619","29°C"
"620","temp29_620","29°C"
"621","temp29_621","29°C"
"622","temp29_622","29°C"
"623","temp29_623","29°C"
"624","temp29_624","29°C"
"625","temp29_625","29°C"
"626","temp29_626","29°C"
"627","temp29_627","29°C"
"628","temp29_628","29°C"
"629","temp29_629","29°C"
"630","temp29_630","29°C"
"631","temp29_631","29°C"
"632","temp29_632","29°C"
"633","temp29_633","29°C"
"634","temp29_634","29°C"
"635","temp29_635","29°C"
"636","temp29_636","29°C"
"637","temp29_637","29°C"
"638","temp29_638","29°C"
"639","temp29_639","29°C"
"640","temp29_640","29°C"
"641","temp29_641","29°C"
"642","temp29_642","29°C"
"643","temp29_643","29°C"
"644","temp29_644","29°C"
"645","temp29_645","29°C"
"646","temp29_646","29°C"
"647","temp29_647","29°C"
"648","temp29_648","29°C"
"649","temp29_649","29°C"
"650","temp29_650","29°C"
"651","temp29_651","29°C"
"652","temp29_652","29°C"
"653","temp29_653","29°C"
"654","temp29_654","29°C"
"655","temp29_655","29°C"
"656","temp29_656","29°C"
"657","temp29_657","29°C"
"658","temp29_658","29°C"
"659","temp29_659","29°C"
"660","temp29_660","29°C"
"661","temp29_661","29°C"
"662","temp29_662","29°C"
"663","temp29_663","29°C"
"664","temp29_664","29°C"
"665","temp29_665","29°C"
"666","temp29_666","29°C"
"667","temp29_667","29°C"
"668","temp29_668","29°C"
"669","temp29_669","29°C"
"670","temp29_670","29°C"
"671","temp29_671","29°C"
"672","temp29_672","29°C"
"673","temp29_673","29°C"
"674","temp29_674","29°C"
"675","temp29_675","29°C"
"676","temp29_676","29°C"
"677","temp29_677","29°C"
"678","temp29_678","29°C"
"679","temp29_679","29°C"
"680","temp29_680","29°C"
"681","temp29_681","29°C"
"682","temp29_682","29°C"
"683","temp29_683","29°C"
"684","temp29_684","29°C"
"685","temp29_685","29°C"
"686","temp29_686","29°C"
"687","temp29_687","29°C"
"688","temp29_688","29°C"
"689","temp29_689","29°C"
"690","temp29_690","29°C"
"691","temp29_691","29°C"
"692","temp29_692","29°C"
"693","temp29_693","29°C"
"694","temp29_694","29°C"
"695","temp29_695","29°C"
"696","temp29_696","29°C"
"697","temp29_697","29°C"
"698","temp29_698","29°C"
"699","temp29_699","29°C"
"700","temp29_700","29°C"
"701","temp29_701","29°C"
"702","temp29_702","29°C"
"703","temp29_703","29°C"
"704","temp29_704","29°C"
"705","temp29_705","29°C"
"706","temp29_706","29°C"
"707","temp29_707","29°C"
"708","temp29_708","29°C"
"709","temp29_709","29°C"
"710","temp29_710","29°C"
"711","temp29_711","29°C"
"712","temp29_712","29°C"
"713","temp29_713","29°C"
"714","temp29_714","29°C"
"715","temp29_715","29°C"
"716","temp29_716","29°C"
"717","temp29_717","29°C"
"718","temp29_718","29°C"
"719","temp29_719","29°C"
"720","temp29_720","29°C"
"721","temp29_721","29°C"
"722","temp29_722","29°C"
"723","temp29_723","29°C"
"724","temp29_724","29°C"
"725","temp29_725","29°C"
"726","temp29_726","29°C"
"727","temp29_727","29°C"
"728","temp29_728","29°C"
"729","temp29_729","29°C"
"730","temp29_730","29°C"
"731","temp29_731","29°C"
"732","temp29_732","29°C"
"733","temp29_733","29°C"
"734","temp29_734","29°C"
"735","temp29_735","29°C"
"736","temp29_736","29°C"
"737","temp29_737","29°C"
"738","temp29_738","29°C"
"739","temp29_739","29°C"
"740","temp29_740","29°C"
"741","temp29_741","29°C"
"742","temp29_742","29°C"
"743","temp29_743","29°C"
"744","temp29_744","29°C"
"745","temp29_745","29°C"
"746","temp29_746","29°C"
"747","temp29_747","29°C"
"748","temp29_748","29°C"
"749","temp29_749","29°C"
"750","temp29_750","29°C"
"751","temp29_751","29°C"
"752","temp29_752","29°C"
"753","temp29_753","29°C"
"754","temp29_754","29°C"
"755","temp29_755","29°C"
"756","temp29_756","29°C"
"757","temp29_757","29°C"
"758","temp29_758","29°C"
"759","temp29_759","29°C"
"760","temp29_760","29°C"
"761","temp29_761","29°C"
"762","temp29_762","29°C"
"763","temp29_763","29°C"
"764","temp29_764","29°C"
"765","temp29_765","29°C"
"766","temp29_766","29°C"
"767","temp29_767","29°C"
"768","temp29_768","29°C"
"769","temp29_769","29°C"
"770","temp29_770","29°C"
"771","temp29_771","29°C"
"772","temp29_772","29°C"
"773","temp29_773","29°C"
"774","temp29_774","29°C"
"775","temp29_775","29°C"
"776","temp29_776","29°C"
"777","temp29_777","29°C"
"778","temp29_778","29°C"
"779","temp29_779","29°C"
"780","temp29_780","29°C"
"781","temp29_781","29°C"
"782","temp29_782","29°C"
"783","temp29_783","29°C"
"784","temp29_784","29°C"
"785","temp29_785","29°C"
"786","temp29_786","29°C"
"787","temp29_787","29°C"
"788","temp29_788","29°C"
"789","temp29_789","29°C"
"790","temp29_790","29°C"
"791","temp29_791","29°C"
"792","temp29_792","29°C"
"793","temp29_793","29°C"
"794","temp29_794","29°C"
"795","temp29_795","29°C"
"796","temp29_796","29°C"
"797","temp29_797","29°C"
"798","temp29_798","29°C"
"799","temp29_799","29°C"
"800","temp29_800","29°C"
"801","temp29_801","29°C"
"802","temp29_802","29°C"
"803","temp29_803","29°C"
"804","temp29_804","29°C"
"805","temp29_805","29°C"
"806","temp29_806","29°C"
"807","temp29_807","29°C"
"808","temp29_808","29°C"
"809","temp29_809","29°C"
"810","temp29_810","29°C"
"811","temp29_811","29°C"
"812","temp29_812","29°C"
"813","temp29_813","29°C"
"814","temp29_814","29°C"
"815","temp29_815","29°C"
"816","temp29_816","29°C"
"817","temp29_817","29°C"
"818","temp29_818","29°C"
"819","temp29_819","29°C"
"820","temp29_820","29°C"
"821","temp29_821","29°C"
"822","temp29_822","29°C"
"823","temp29_823","29°C"
"824","temp29_824","29°C"
"825","temp29_825","29°C"
"826","temp29_826","29°C"
"827","temp29_827","29°C"
"828","temp29_828","29°C"
"829","temp29_829","29°C"
"830","temp29_830","29°C"
"831","temp29_831","29°C"
"832","temp29_832","29°C"
"833","temp29_833","29°C"
"834","temp29_834","29°C"
"835","temp29_835","29°C"
"836","temp29_836","29°C"
"837","temp29_837","29°C"
"838","temp29_838","29°C"
"839","temp29_839","29°C"
"840","temp29_840","29°C"
"841","temp29_841","29°C"
"842","temp29_842","29°C"
"843","temp29_843","29°C"
"844","temp29_844","29°C"
"845","temp29_845","29°C"
"846","temp29_846","29°C"
"847","temp29_847","29°C"
"848","temp29_848","29°C"
"849","temp29_849","29°C"
"850","temp29_850","29°C"
"851","temp29_851","29°C"
"852","temp29_852","29°C"
"853","temp29_853","29°C"
"854","temp29_854","29°C"
"855","temp29_855","29°C"
"856","temp29_856","29°C"
"857","temp29_857","29°C"
"858","temp29_858","29°C"
"859","temp29_859","29°C"
"860","temp29_860","29°C"
"861","temp29_861","29°C"
"862","temp29_862","29°C"
"863","temp29_863","29°C"
"864","temp29_864","29°C"
"865","temp29_865","29°C"
"866","temp29_866","29°C"
"867","temp29_867","29°C"
"868","temp29_868","29°C"
"869","temp29_869","29°C"
"870","temp29_870","29°C"
"871","temp29_871","29°C"
"872","temp29_872","29°C"
"873","temp29_873","29°C"
"874","temp29_874","29°C"
"875","temp29_875","29°C"
"876","temp29_876","29°C"
"877","temp29_877","29°C"
"878","temp29_878","29°C"
"879","temp29_879","29°C"
"880","temp29_880","29°C"
"881","temp29_881","29°C"
"882","temp29_882","29°C"
"883","temp29_883","29°C"
"884","temp29_884","29°C"
"885","temp29_885","29°C"
"886","temp29_886","29°C"
"887","temp29_887","29°C"
"888","temp29_888","29°C"
"889","temp29_889","29°C"
"890","temp29_890","29°C"
"891","temp29_891","29°C"
"892","temp29_892","29°C"
"893","temp29_893","29°C"
"894","temp29_894","29°C"
"895","temp29_895","29°C"
"896","temp29_896","29°C"
"897","temp29_897","29°C"
"898","temp29_898","29°C"
"899","temp29_899","29°C"
"900","temp29_900","29°C"
"901","temp29_901","29°C"
"902","temp29_902","29°C"
"903","temp29_903","29°C"
"904","temp29_904","29°C"
"905","temp29_905","29°C"
"906","temp29_906","29°C"
"907","temp29_907","29°C"
"908","temp29_908","29°C"
"909","temp29_909","29°C"
"910","temp29_910","29°C"
"911","temp29_911","29°C"
"912","temp29_912","29°C"
"913","temp29_913","29°C"
"914","temp29_914","29°C"
"915","temp29_915","29°C"
"916","temp29_916","29°C"
"917","temp29_917","29°C"
"918","temp29_918","29°C"
"919","temp29_919","29°C"
"920","temp29_920","29°C"
"921","temp29_921","29°C"
"922","temp29_922","29°C"
"923","temp29_923","29°C"
"924","temp29_924","29°C"
"925","temp29_925","29°C"
"926","temp29_926","29°C"
"927","temp29_927","29°C"
"928","temp29_928","29°C"
"929","temp29_929","29°C"
"930","temp29_930","29°C"
"931","temp29_931","29°C"
"932","temp29_932","29°C"
"933","temp29_933","29°C"
"934","temp29_934","29°C"
"935","temp29_935","29°C"
"936","temp29_936","29°C"
"937","temp29_937","29°C"
"938","temp29_938","29°C"
"939","temp29_939","29°C"
"940","temp29_940","29°C"
"941","temp29_941","29°C"
"942","temp29_942","29°C"
"943","temp29_943","29°C"
"944","temp29_944","29°C"
"945","temp29_945","29°C"
"946","temp29_946","29°C"
"947","temp29_947","29°C"
"948","temp29_948","29°C"
"949","temp29_949","29°C"
"950","temp29_950","29°C"
"951","temp29_951","29°C"
"952","temp29_952","29°C"
"953","temp29_953","29°C"
"954","temp29_954","29°C"
"955","temp29_955","29°C"
"956","temp29_956","29°C"
"957","temp29_957","29°C"
"958","temp29_958","29°C"
"959","temp29_959","29°C"
"960","temp29_960","29°C"
"961","temp29_961","29°C"
"962","temp29_962","29°C"
"963","temp29_963","29°C"
"964","temp29_964","29°C"
"965","temp29_965","29°C"
"966","temp29_966","29°C"
"967","temp29_967","29°C"
"968","temp29_968","29°C"
"969","temp29_969","29°C"
"970","temp29_970","29°C"
"971","temp29_971","29°C"
"972","temp29_972","29°C"
"973","temp29_973","29°C"
"974","temp29_974","29°C"
"975","temp29_975","29°C"
"976","temp29_976","29°C"
"977","temp29_977","29°C"
"978","temp29_978","29°C"
"979","temp29_979","29°C"
"980","temp29_980","29°C"
"981","temp29_981","29°C"
"982","temp29_982","29°C"
"983","temp29_983","29°C"
"984","temp29_984","29°C"
"985","temp29_985","29°C"
"986","temp29_986","29°C"
"987","temp29_987","29°C"
"988","temp29_988","29°C"
"989","temp29_989","29°C"
"990","temp29_990","29°C"
"991","temp29_991","29°C"
"992","temp29_992","29°C"
"993","temp29_993","29°C"
"994","temp29_994","29°C"
"995","temp29_995","29°C"
"996","temp29_996","29°C"
"997","temp29_997","29°C"
"998","temp29_998","29°C"
"999","temp29_999","29°C"
